Datetime,Water Level (m)
2023-06-18 00:00:00,-1.0985852
2023-06-18 01:00:00,-0.6081232
2023-06-18 02:00:00,0.09311697
2023-06-18 03:00:00,0.9425901
2023-06-18 04:00:00,1.6467497
2023-06-18 05:00:00,2.0894294
2023-06-18 06:00:00,2.0723894
2023-06-18 07:00:00,1.725498
2023-06-18 08:00:00,1.0815105
2023-06-18 09:00:00,0.2871422
2023-06-18 10:00:00,-0.49813545
2023-06-18 11:00:00,-1.1371934
2023-06-18 12:00:00,-1.4081244
2023-06-18 13:00:00,-1.074121
2023-06-18 14:00:00,-0.44664672
2023-06-18 15:00:00,0.27972016
2023-06-18 16:00:00,0.9121535
2023-06-18 17:00:00,1.352296
2023-06-18 18:00:00,1.5040693
2023-06-18 19:00:00,1.2174928
2023-06-18 20:00:00,0.7523376
2023-06-18 21:00:00,0.093237415
2023-06-18 22:00:00,-0.58546966
2023-06-18 23:00:00,-1.1614603
2023-06-19 00:00:00,-1.3845503
2023-06-19 01:00:00,-0.9891004
2023-06-19 02:00:00,-0.28439534
2023-06-19 03:00:00,0.50662774
2023-06-19 04:00:00,1.2820039
2023-06-19 05:00:00,1.9076751
2023-06-19 06:00:00,2.1626177
2023-06-19 07:00:00,1.9725556
2023-06-19 08:00:00,1.5659266
2023-06-19 09:00:00,0.8907641
2023-06-19 10:00:00,0.11236647
2023-06-19 11:00:00,-0.66151005
2023-06-19 12:00:00,-1.2646482
2023-06-19 13:00:00,-1.4273922
2023-06-19 14:00:00,-0.9238754
2023-06-19 15:00:00,-0.23035006
2023-06-19 16:00:00,0.5050779
2023-06-19 17:00:00,1.0697124
2023-06-19 18:00:00,1.4331839
2023-06-19 19:00:00,1.4451439
2023-06-19 20:00:00,1.0782661
2023-06-19 21:00:00,0.58985764
2023-06-19 22:00:00,-0.07680763
2023-06-19 23:00:00,-0.73046154
2023-06-20 00:00:00,-1.2252992
2023-06-20 01:00:00,-1.2696654
2023-06-20 02:00:00,-0.72658145
2023-06-20 03:00:00,0.0138046
2023-06-20 04:00:00,0.8377802
2023-06-20 05:00:00,1.5653139
2023-06-20 06:00:00,2.0742075
2023-06-20 07:00:00,2.1171224
2023-06-20 08:00:00,1.7995514
2023-06-20 09:00:00,1.2409058
2023-06-20 10:00:00,0.4993211
2023-06-20 11:00:00,-0.26792476
2023-06-20 12:00:00,-0.9537394
2023-06-20 13:00:00,-1.3551126
2023-06-20 14:00:00,-1.2154119
2023-06-20 15:00:00,-0.6263532
2023-06-20 16:00:00,0.057659198
2023-06-20 17:00:00,0.7394409
2023-06-20 18:00:00,1.2604929
2023-06-20 19:00:00,1.5287366
2023-06-20 20:00:00,1.3432294
2023-06-20 21:00:00,0.93280494
2023-06-20 22:00:00,0.3612556
2023-06-20 23:00:00,-0.277796
2023-06-21 00:00:00,-0.85673404
2023-06-21 01:00:00,-1.2065735
2023-06-21 02:00:00,-1.0470837
2023-06-21 03:00:00,-0.42079332
2023-06-21 04:00:00,0.32733324
2023-06-21 05:00:00,1.1160854
2023-06-21 06:00:00,1.7394772
2023-06-21 07:00:00,2.1021433
2023-06-21 08:00:00,1.9803162
2023-06-21 09:00:00,1.612172
2023-06-21 10:00:00,0.9867399
2023-06-21 11:00:00,0.26946628
2023-06-21 12:00:00,-0.45210102
2023-06-21 13:00:00,-1.048623
2023-06-21 14:00:00,-1.2961963
2023-06-21 15:00:00,-0.9950714
2023-06-21 16:00:00,-0.41789344
2023-06-21 17:00:00,0.27868494
2023-06-21 18:00:00,0.9240445
2023-06-21 19:00:00,1.3769393
2023-06-21 20:00:00,1.4977113
2023-06-21 21:00:00,1.16909
